date,runoff
2022/7/7 12:35,4495.606061
2022/7/7 12:40,4499.393939
2022/7/7 12:45,4503.181818
2022/7/7 12:50,4506.969697
2022/7/7 12:55,4510.757576
2022/7/7 13:00,4514.545455
2022/7/7 13:05,4518.333333
2022/7/7 13:10,4522.121212
2022/7/7 13:15,4525.909091
2022/7/7 13:20,4529.69697
2022/7/7 13:25,4533.484848
2022/7/7 13:30,4537.272727
2022/7/7 13:35,4541.060606
2022/7/7 13:40,4544.848485
2022/7/7 13:45,4548.636364
2022/7/7 13:50,4552.424242
2022/7/7 13:55,4556.212121
2022/7/7 14:00,4560
2022/7/7 14:05,4560
2022/7/7 14:10,4560
2022/7/7 14:15,4560
2022/7/7 14:20,4560
2022/7/7 14:25,4560
2022/7/7 14:30,4560
2022/7/7 14:35,4560
2022/7/7 14:40,4560
2022/7/7 14:45,4560
2022/7/7 14:50,4560
2022/7/7 14:55,4560
2022/7/7 15:00,4560
2022/7/7 15:05,4560
2022/7/7 15:10,4560
2022/7/7 15:15,4560
2022/7/7 15:20,4560
2022/7/7 15:25,4560
2022/7/7 15:30,4560
2022/7/7 15:35,4560
2022/7/7 15:40,4560
2022/7/7 15:45,4560
2022/7/7 15:50,4560
2022/7/7 15:55,4560
2022/7/7 16:00,4560
2022/7/7 16:05,4557.5
2022/7/7 16:10,4555
2022/7/7 16:15,4552.5
2022/7/7 16:20,4550
2022/7/7 16:25,4547.5
2022/7/7 16:30,4545
2022/7/7 16:35,4542.5
2022/7/7 16:40,4540
2022/7/7 16:45,4537.5
2022/7/7 16:50,4535
2022/7/7 16:55,4532.5
2022/7/7 17:00,4530
2022/7/7 17:05,4527.5
2022/7/7 17:10,4525
2022/7/7 17:15,4522.5
2022/7/7 17:20,4520
2022/7/7 17:25,4517.5
2022/7/7 17:30,4515
2022/7/7 17:35,4512.5
2022/7/7 17:40,4510
2022/7/7 17:45,4507.5
2022/7/7 17:50,4505
2022/7/7 17:55,4502.5
2022/7/7 18:00,4500
2022/7/7 18:05,4495.666667
2022/7/7 18:10,4491.333333
2022/7/7 18:15,4487
2022/7/7 18:20,4482.666667
2022/7/7 18:25,4478.333333
2022/7/7 18:30,4474
2022/7/7 18:35,4469.666667
2022/7/7 18:40,4465.333333
2022/7/7 18:45,4461
2022/7/7 18:50,4456.666667
2022/7/7 18:55,4452.333333
2022/7/7 19:00,4448
2022/7/7 19:05,4443.666667
2022/7/7 19:10,4439.333333
2022/7/7 19:15,4435
2022/7/7 19:20,4430.666667
2022/7/7 19:25,4426.333333
2022/7/7 19:30,4422
2022/7/7 19:35,4417.666667
2022/7/7 19:40,4413.333333
2022/7/7 19:45,4409
2022/7/7 19:50,4404.666667
2022/7/7 19:55,4400.333333
2022/7/7 20:00,4396
2022/7/7 20:05,4391.666667
2022/7/7 20:10,4387.333333
2022/7/7 20:15,4383
2022/7/7 20:20,4378.666667
2022/7/7 20:25,4374.333333
2022/7/7 20:30,4370
2022/7/7 20:35,4365.666667
2022/7/7 20:40,4361.333333
2022/7/7 20:45,4357
2022/7/7 20:50,4352.666667
2022/7/7 20:55,4348.333333
2022/7/7 21:00,4344
2022/7/7 21:05,4339.666667
2022/7/7 21:10,4335.333333
2022/7/7 21:15,4331
2022/7/7 21:20,4326.666667
2022/7/7 21:25,4322.333333
2022/7/7 21:30,4318
2022/7/7 21:35,4313.666667
2022/7/7 21:40,4309.333333
2022/7/7 21:45,4305
2022/7/7 21:50,4300.666667
2022/7/7 21:55,4296.333333
2022/7/7 22:00,4292
2022/7/7 22:05,4287.666667
2022/7/7 22:10,4283.333333
2022/7/7 22:15,4279
2022/7/7 22:20,4274.666667
2022/7/7 22:25,4270.333333
2022/7/7 22:30,4266
2022/7/7 22:35,4261.666667
2022/7/7 22:40,4257.333333
2022/7/7 22:45,4253
2022/7/7 22:50,4248.666667
2022/7/7 22:55,4244.333333
2022/7/7 23:00,4240
2022/7/7 23:05,4233.636364
2022/7/7 23:10,4227.272727
2022/7/7 23:15,4220.909091
2022/7/7 23:20,4214.545455
2022/7/7 23:25,4208.181818
2022/7/7 23:30,4201.818182
2022/7/7 23:35,4195.454545
2022/7/7 23:40,4189.090909
2022/7/7 23:45,4182.727273
2022/7/7 23:50,4176.363636
2022/7/7 23:55,4170
2022/7/8 0:00,4160
2022/7/8 0:05,4153.571429
2022/7/8 0:10,4147.142857
2022/7/8 0:15,4140.714286
2022/7/8 0:20,4134.285714
2022/7/8 0:25,4127.857143
2022/7/8 0:30,4121.428571
2022/7/8 0:35,4115
2022/7/8 0:40,4108.571429
2022/7/8 0:45,4102.142857
2022/7/8 0:50,4095.714286
2022/7/8 0:55,4089.285714
2022/7/8 1:00,4082.857143
2022/7/8 1:05,4076.428571
2022/7/8 1:10,4070
2022/7/8 1:15,4063.571429
